['3.63218567426', '4.38977955487', '0.515592388251', '-1.62759509289', '1.05374929552', '-1.16149643178', '-0.0959851557568']
['2.6248686858', '7.48665141458', '-0.253767648662', '-1.62761479604', '1.60733255702', '-2.79988262933', '0.613447632968']
['3.41162111332', '6.89889648054', '-0.0138031213988', '-2.35962484358', '2.93094217499', '-2.07199930575', '0.844896442998']
['5.97495347095', '3.96318297346', '2.0698494767', '-2.24425066287', '1.63361670919', '-0.135950437319', '0.62533761382']
['3.044813671', '6.17560685229', '-1.59196278254', '-0.362468819578', '2.26508977907', '-1.44179950921', '2.09597871794']
['2.95033281342', '6.90207465952', '-0.432078659199', '-2.64796190606', '-0.00685464771978', '-0.639815222389', '3.33231315268']
['4.53234802799', '3.83964746779', '0.312138657274', '-0.192291570163', '2.3225803423', '-1.30930526146', '0.770880913679']
['3.52208463949', '6.82761554842', '0.747297082982', '-0.590314203573', '4.51929170164', '-2.13249416197', '0.922938782865']
['3.22164702028', '4.41380387294', '-0.420257351481', '-0.0165316545202', '1.69679997212', '0.0244542392624', '3.11274712242']
['4.09216550346', '3.06789394623', '0.230894522475', '-2.18119882284', '1.67448079548', '1.82811234757', '-0.856504826696']
['4.90848163314', '6.98982381888', '-0.041928899315', '-2.53835503147', '3.49827945626', '-1.70775623866', '0.600565785825']
['2.66634060766', '4.5867789725', '-1.14142496901', '-1.98181392971', '0.762037733137', '-1.29758436416', '-0.124662927605']
['4.92220245259', '6.6162531119', '-1.76302130576', '0.488744385468', '3.38568206767', '-0.765867312829', '1.49361325892']
['5.78941495515', '4.68464472872', '0.190411126127', '-1.31432697619', '0.93878991101', '0.304493119079', '1.3727736933']
['1.50794983471', '4.37395046072', '-0.704642699127', '0.605667028653', '1.75412531797', '-1.40692746462', '1.39550625568']
['3.04342858983', '4.17651166077', '2.63237209244', '-2.551320656', '2.00052709284', '-2.01967099645', '3.35873381959']
['5.24307139919', '7.378898445', '0.456181175611', '-1.18128960801', '2.5506647595', '-3.23258137019', '1.01606185487']
['5.32139353397', '4.63521898036', '-1.08842641648', '0.459603545291', '0.698481001673', '-1.60273960044', '-0.532866443705']
['2.44810440945', '2.30075112295', '-3.6987454578', '-0.0206511385479', '2.05718777937', '0.470803835138', '1.1165979311']
['3.90749140499', '5.7107831211', '0.3984661756', '-0.421969728578', '2.42471617448', '-0.574033374503', '1.07156856468']
['4.14360728143', '8.03231582233', '-0.926531356105', '-0.639877557908', '3.50271088823', '-1.94486543078', '1.68339740778']
['4.49362968074', '4.18301468728', '-0.645090527294', '-1.57932279836', '1.44353143879', '-1.72576769895', '2.53485564566']
['6.27722070669', '6.04174536221', '-2.16594297975', '-0.694250300513', '0.625492102691', '-2.75887667906', '0.68882793631']
['4.48503640455', '5.19014728103', '-1.53167658928', '-2.77678552812', '2.17711831836', '-1.23233899245', '-0.473935884881']
['1.62715912854', '2.16444812925', '-0.801044827584', '-1.68990739579', '0.225818924778', '-1.79973277981', '3.11326318345']
['6.03226231855', '4.92951661325', '1.9165245366', '-2.99985327947', '0.0973555081138', '-1.37959915287', '-0.957990371872']
['4.37593504618', '6.7203949881', '0.606989014066', '-2.8576503979', '2.86040925256', '-1.42847000621', '1.18252924234']
['4.74713947332', '3.2485140043', '0.484530451481', '-1.1373633785', '3.56030427698', '-2.24794499166', '1.94649891632']
